"","Lokalitet","Trenr","Art","Hoyde(m)","DBH(cm)","OBH(cm)","dbh.mm","height.dm","tree.sp","Notat","living.branches","dead.branches","stem.wood","stump","bark","usoil","rot1","rot2","foliage","biomass.aboveground.kg","biomass.belowground.kg","total.biomass.kg"
"68",4,15,"gran",25,35.6507072525822,112,356.507072525822,250,1,NA,139.537017602342,9.81986766141998,419.546462727355,47.4366025460958,34.899943699025,192.260397148233,23.0264974862792,93.2033629714954,49.1114714014303,651.239894236238,144.823794602137,796.063688838375
"69",5,1,"gran",19.8,35.969017138766,113,359.69017138766,198,1,NA,170.147688302407,6.04403449789945,299.953371447092,48.4287968732462,31.121358823542,195.876620131698,23.3219093279053,94.8715033737721,55.9284299977586,555.695249944186,147.447823258452,703.143073202638
"70",5,2,"gran",15.2,27.692960097988,87,276.92960097988,152,1,"død",113.469411983996,2.95616494114155,141.502939155823,25.6887073594274,17.0402581158181,109.95543966001,15.6662336508121,53.9718922338389,38.1965448040299,300.657481556207,84.2667323005828,384.924213856789
"71",5,3,"gran",20.2,37.5605665696848,118,375.605665696848,202,1,NA,183.743210879033,6.51390694546466,328.462390097566,53.5156407517557,33.8658896526412,214.260332010288,24.7958204899455,103.286132242967,59.9134656403337,606.101038326461,160.744691258532,766.845729584993
"72",5,4,"gran",22.5,37.2422566835011,117,372.422566835011,225,1,NA,166.34468861794,8.08278261000629,379.814331335171,52.4818287009439,35.3931418278692,210.544695891823,24.5015319377568,101.59410214737,55.982872008769,642.116773091931,158.062867190879,800.179640282809
"73",5,5,"gran",12.6,20.0535228295775,63,200.535228295775,126,1,NA,57.1734139080415,1.61106345427238,65.5910434347403,11.1271861331941,8.31518583146587,50.22466418005,9.04185306084596,23.8647520564858,20.6851609580023,143.817892761714,39.0974780468559,182.91537080857
"74",5,6,"bjørk",11,12.7323954473508,40,127.323954473508,110,30,NA,9.03091657955846,0.292974954133736,28.2484696026169,3.0242497879276,4.89843512152018,18.8556708083804,3.05001140490149,3.05001140490149,2.07827869770358,48.5552671523016,15.8314210204528,64.7233985564656
"75",5,7,"gran",10.7,14.0056349920859,44,140.056349920859,107,1,NA,24.1386468514725,0.896958253908058,28.7635457308807,4.28294432125687,3.71095393021913,19.9021063233369,4.65391612749578,8.36886040588153,9.55913127696955,61.7930490877372,15.61916200208,77.4122110898172
"76",5,8,"gran",28.2,41.3802852038901,130,413.802852038901,282,1,NA,172.125317471265,14.6199314795807,631.684209499106,66.5175378082559,48.2901616189474,260.180347014824,28.299444371138,123.854163764269,60.3271094616377,933.237157877155,193.662809206568,1126.89996708372
"77",5,9,"gran",23.5,26.7380304394367,84,267.380304394367,235,1,NA,75.9361893287406,6.71069340008485,243.801848849342,23.5106233394961,19.9014374657813,101.319599087884,14.8004534287752,49.7039660294052,28.7182820361655,369.860792383445,77.8089757483879,447.669768131833
"78",5,10,"gran",26.6,33.104228163112,104,331.04228163112,266,1,NA,112.847023283035,10.6448165130759,415.449642267749,39.8181029533058,31.8164616498795,164.132060188911,20.6597504772113,80.0760028759915,41.4629045587744,610.576046667046,124.313957235605,734.890003902651
"79",5,11,"furu",24.2,28.966199642723,91,289.66199642723,242,10,NA,36.8624141753264,6.07501796543854,294.249609408389,27.4703362201236,16.8161789609395,95.3824909224039,15.8509616987048,44.6305567273557,9.84910213140137,381.473556730217,67.9121547022803,449.385711432497
"80",5,12,"einer",6.8,12.414085561167,39,124.14085561167,68,1,NA,22.7511268827386,0.419934013230985,14.6460874909067,3.12094471907677,2.46074216046865,14.5302726781243,3.69966222774268,5.72912551200302,8.8833628459254,43.3988352664218,11.4093279590476,54.8081632254693
"81",5,13,"gran",26.9,29.6028194150906,93,296.028194150906,269,1,NA,86.7084269907699,9.94046432491711,356.137285302865,30.3366611264136,26.1428709437998,128.107286101717,17.4158022899801,62.8448263831477,33.1262031662442,509.265708688766,97.7706249753031,607.036333664069
"82",5,14,"gran",22.7,32.7859182769283,103,327.859182769283,227,1,NA,125.328650582126,7.4197826929742,318.885386122155,38.9071617781001,28.4745013179272,160.723103728236,20.3638831569587,78.4661567331417,43.9724759655237,519.015482493282,121.815941950136,640.831424443418
"83",6,1,"gran",27.4,31.1943688460094,98,311.943688460094,274,1,NA,96.3360550387234,10.8546297790254,398.52625794731,34.4971293817341,29.1200215640945,144.06823326622,18.8865783969815,70.5396749936339,36.4266818695867,569.334093710887,109.571103884486,678.905197595373
"84",6,2,"gran",20,26.1014106670691,82,261.014106670691,200,1,NA,80.9840347460231,4.69545155122369,184.80197629201,22.1138750578867,17.3932009480402,95.7341045834153,14.2274725365615,46.9274355292016,29.5326164224084,309.988538595184,73.6202295255286,383.608768120713
